Datetime,open,close,high,low,open_1,close_1,high_1,low_1,avg_price_5,avg_price_30,ratio_avg_price_5_30,username,followers_count,text,retweet_count,like_count,view_count,tags,sentiment_1,sentiment_2,sentiment_3
2024-01-08 16:00:00+00:00,45039.5625,44969.35546875,45161.26953125,44867.85546875,44839.41015625,45048.8125,45207.046875,44736.078125,44041.19907924107,43022.399793836805,1.0236806707735122,Jason A. Williams,255611,"BREAKING 🚨 NEWS ‼️ DOJ says, “we have 120,000 #bitcoin that has a basis of $71M, today the value of that #Bitcoin is $5.4 Billion.” https://t.co/3Iav0BEyhR ",1245,5732,1036785.0,"['bitcoin', 'Bitcoin']",-1.3417080640792847,1.2432893514633179,-0.3974318504333496
2024-01-10 21:00:00+00:00,46155.97265625,45876.46875,46258.203125,45302.1015625,46512.2734375,46194.671875,46512.2734375,45437.40625,44597.14846075149,43253.252180989584,1.0310704100153782,Altcoin Daily,1846534,OFFICIAL: SEC APPROVES SPOT #BITCOIN ETFs https://t.co/bUrfwK0XfC ,380,2895,162206.0,['BITCOIN'],-1.0603426694869995,1.8267285823822021,-1.1412473917007446
2024-01-10 14:00:00+00:00,45150.86328125,44868.609375,45397.57421875,44868.609375,44707.5546875,45164.1328125,45332.9765625,44483.15234375,44462.75904482887,43208.799137369795,1.029020938616518,Kevin Svenson,160217,#BITCOIN ETF 🚨BREAKING!!! 📰Gary Gensler Makes a Statement!!! @GaryGensler @SECGov #BitcoinETF https://t.co/qAzb52kMfk ,1966,8147,932738.0,"['BITCOIN', 'BitcoinETF']",-1.3637694120407104,0.9157384037971497,0.3299289345741272
2024-01-10 03:00:00+00:00,45968.515625,46133.37109375,46203.578125,45963.85546875,45932.78515625,45955.96484375,46076.859375,45907.65234375,44395.72216796875,43156.63254665799,1.0287114528681343,Robert Kiyosaki,2746400,"BITCOIN ETF. Yay. Glad I bought years ago.  Bitcoin to $150k soon. Gold to the moon as Central Banks buy , store, and never sell. Silver to crash as silver stackers sell to pay bills, caused by rising inflation. Great news for silver stackers.  Time to buy more as silver crashes. ",1367,8162,974279.0,[],-0.7737715840339661,-0.31335902214050293,0.9532769918441772
2024-01-10 02:00:00+00:00,45932.78515625,45955.96484375,46076.859375,45907.65234375,45849.46484375,45918.37109375,45936.95703125,45641.05859375,44391.698823474704,43151.042789713545,1.028751472816247,Richard Heart,346732,How is everyone feeling? Price 2x's are cool. #Bitcoin https://t.co/p8fkPgH4Mx ,1068,4604,207467.0,['Bitcoin'],-1.4322667121887207,0.04669123888015747,1.2314796447753906
2024-01-19 01:00:00+00:00,41262.0,41250.52734375,41288.6796875,41120.453125,41278.4609375,41288.3984375,41325.25,41097.7109375,42979.50372023809,43637.40085720486,0.984923548973056,Yassine Elmandjra,106575,"Bitcoin's hash rate hit an all time high 500 exahashes/s this month.To highlight the enormity of this number:- For every star in our galaxy, the Bitcoin network is calculating 5 billion computations per second.- It would take  ~2000 years for the entire global population, https://t.co/Ki4jOxmliO ",1340,5268,1997489.0,[],-0.7280029058456421,0.49370691180229187,-0.04360474646091461
2024-01-12 15:00:00+00:00,45458.01953125,44405.25,45458.01953125,44363.59765625,45788.10546875,45517.625,45878.49609375,45286.15625,45298.48295665922,43546.09674479167,1.0402420961432588,Jim Cramer,2228601,Checking in with Larry Williams. Major top in Bitcoin... MAJOR ,1069,7240,3174776.0,[],-1.7273119688034058,-0.22616161406040192,1.5251489877700806
2024-01-30 21:00:00+00:00,43571.0703125,43545.640625,43683.09375,43500.671875,43545.546875,43641.15234375,43731.90625,43511.48828125,41473.55182756697,42920.621120876734,0.9662849871339372,Bitcoin Magazine,3621809,"JUST IN: 🇺🇸 21Shares President says spot #Bitcoin ETFs ""is one of the best ETF launches of all time."" 🚀 https://t.co/Kvq34MqYIJ ",791,4578,325058.0,['Bitcoin'],-1.849615454673767,-0.11620517820119858,1.7371491193771362
2024-01-21 20:00:00+00:00,41704.0546875,41626.48046875,41749.3984375,41613.35546875,41664.73046875,41700.04296875,41700.04296875,41626.609375,42155.36723400297,43445.37366536458,0.970307392421163,PlanB,2085334,My two favorite bitcoin models:- 2019 Stock-to-Flow model (prediction)- 2022 Market Cycle model (detection)Bitcoin is perfectly on track. Patience is key. https://t.co/MdV9DI9c2o ,814,4928,424363.0,[],-2.0355958938598633,0.10616250336170197,1.725748062133789
2024-01-22 16:00:00+00:00,40710.94921875,40505.75,40808.94921875,40394.09375,40665.96484375,40684.15234375,40751.60546875,40373.9609375,41991.482631138395,43373.5517578125,0.9681356709178154,光源氏🇯🇵,108800,2025年の大災害は隕石落下の可能性が高まりました。お金や資産や株や不動産やビットコイン、亡くなったらあの世には何も持っていけません。好きな事をして生きて下さい。嫌なら会社や学校は辞めて、家族すら辞めて下さい。一度きりの人生、好きな物を食べ、好きな場所に行き、好きな人と出会い悔いの無 https://t.co/oQJhqz8MId ,513,2859,2466024.0,[],1.0445622205734253,-0.016098082065582275,-1.3596248626708984
